exp_group,experiment,feature_set,feature_set_label,model,horizon,seg_type,segment,RMSE,MAE,sMAPE,med_node_RMSE,n_keywords
exp3_tensors,core_continent,core_continent,Core + Continent,GConvLSTM,1,tercile,Low,0.7580709791621073,0.5155673767433137,18.00895649165429,0.5571229077402522,604
exp3_tensors,core_continent,core_continent,Core + Continent,GraphWaveNet,1,tercile,Low,0.7515674519598073,0.5026161511429837,17.171549127328294,0.5478756721293293,604
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,AGCRN,1,tercile,Low,0.774921824034212,0.5262640033379963,18.371681391518795,0.5627079672703923,604
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,DCRNN,1,tercile,Low,0.7497996924551402,0.5077959146901645,17.696547064685074,0.5471541726068945,604
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,GConvLSTM,1,tercile,Low,0.7660375220391479,0.5222729891766669,18.31910318220995,0.5549568946874489,604
exp3_tensors,core_continent_search,core_continent_search,Core + Continent + Search,GraphWaveNet,1,tercile,Low,0.7467897106206248,0.5001963558888024,17.36120209676059,0.5341551782778629,604
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,AGCRN,1,tercile,Low,0.771644511107568,0.5247405966459705,18.18917973489671,0.5719960952900887,604
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,DCRNN,1,tercile,Low,0.7512544475031127,0.5048487205578788,17.429595440476824,0.5453328773983889,604
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,GConvLSTM,1,tercile,Low,0.7634797692773361,0.5198425951229291,18.153076698609226,0.5626339871959065,604
exp3_tensors,core_country,core_country,Core + Country,DCRNN,1,tercile,Low,0.7498998567556486,0.5032792807018582,17.423795734552222,0.5427780563059692,604
exp3_tensors,core_country,core_country,Core + Country,GConvLSTM,1,tercile,Low,0.8273558798209242,0.5607291239570176,19.387531425116105,0.5900338961089456,604
exp3_tensors,core_country,core_country,Core + Country,GraphWaveNet,1,tercile,Low,0.7615896249072749,0.5151605448072046,17.656796078590673,0.5551478679004422,604
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,AGCRN,1,tercile,Low,0.781405285489981,0.5327485702004462,18.553346544691024,0.5778613017535235,604
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,DCRNN,1,tercile,Low,0.7532654407166768,0.5096006908683977,17.700550691778947,0.552854026314739,604
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,GraphWaveNet,1,tercile,Low,0.7727415426677541,0.5217446627042048,17.95698731761114,0.5605382792169509,604
ablation_tensors,core_dom,core_dom,Core + Domain,AGCRN,1,tercile,Low,0.778888102833433,0.5363019272724945,18.6169575540425,0.5811640690155799,604
ablation_tensors,core_dom,core_dom,Core + Domain,DCRNN,1,tercile,Low,0.7796252833990948,0.5350279566571097,18.079975850192174,0.5901300649401848,604
ablation_tensors,core_dom,core_dom,Core + Domain,GConvLSTM,1,tercile,Low,0.8791231231482128,0.6173168871711838,20.86262189649008,0.6538032106758354,604
ablation_tensors,core_dom,core_dom,Core + Domain,GraphWaveNet,1,tercile,Low,0.8663111881882799,0.6210220729855388,20.70509615640426,0.7219146411769408,604
ablation_tensors,core_dtw,core_dtw,Core + DTW,AGCRN,1,tercile,Low,0.7802550231867414,0.5359619443250331,18.633865423883446,0.5770939885903182,604
ablation_tensors,core_dtw,core_dtw,Core + DTW,DCRNN,1,tercile,Low,0.7445104925041586,0.4998076103072749,17.26906895654507,0.5371504673107297,604
ablation_tensors,core_geo,core_geo,Core + Geo,AGCRN,1,tercile,Low,0.7748018909640585,0.5242973161826032,18.218362854096757,0.5590960985999583,604
