exp_group,experiment,feature_set,feature_set_label,model,RMSE_h1,RMSE_h6,RMSE_h12,MAE_h1,MAE_h6,MAE_h12,sMAPE_h1,sMAPE_h6,sMAPE_h12,med_node_RMSE_h1,med_node_RMSE_h6,med_node_RMSE_h12,n_keywords_h1,n_keywords_h6,n_keywords_h12
exp3_tensors,core_continent_sempc,core_continent_sempc,Core + Continent + Sem PC,GraphWaveNet,,1.3444635477513898,1.6107076837427912,,0.829532193395612,1.0352400696460133,,30.659993851675654,37.80691586141548,,0.7691186724206263,0.6642578992464045,,1811.0,1811.0
exp3_tensors,core_country,core_country,Core + Country,AGCRN,,1.3687093082959922,1.5884099188025167,,0.847287188599507,1.0571632724746112,,31.22696722216952,38.381917192239605,,0.7817229491660403,0.7010214926175204,,1811.0,1811.0
exp3_tensors,core_country,core_country,Core + Country,DCRNN,1.1855508205367995,1.3766895661906813,1.591360606986349,0.6961623025701112,0.8298996836090665,1.0339159878687083,25.97223125336968,30.75593567923775,37.95097009764173,0.6858515220292974,0.7599248696573202,0.6597824457870776,1811.0,1811.0,1811.0
exp3_tensors,core_country,core_country,Core + Country,GConvLSTM,1.2604001472616408,1.4979501053911268,1.6576764728911761,0.74371621916641,0.915929016607428,1.100121044878252,27.648451935935537,33.27916935875399,39.90672803209154,0.7241996587019633,0.8139116968187347,0.7294253801358668,1811.0,1811.0,1811.0
exp3_tensors,core_country,core_country,Core + Country,GraphWaveNet,1.1921387344041396,,1.5895535891657682,0.7096638110248584,,1.0834877466589263,26.241020012943476,,38.56360161219635,0.7123458709314375,,0.7294003517411161,1811.0,,1811.0
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,AGCRN,1.212872237252625,1.370347858895915,1.5638493951383725,0.7256887215659976,0.8443929266026443,1.044968634382238,27.045953195251943,31.19700181766972,38.173107793772424,0.7216435493183939,0.778063430471311,0.6926049377548185,1811.0,1811.0,1811.0
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,DCRNN,1.1857148378908893,1.3843043349889876,1.6146646760048013,0.7004637030647148,0.8678744898541697,1.093100955537806,26.116942042255392,31.94760125201045,39.13970661688537,0.6833832465948007,0.7997576309028551,0.7336021810149207,1811.0,1811.0,1811.0
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,GConvLSTM,,1.4457582911455988,1.616168688379716,,0.8988255970755329,1.0776987412037642,,32.751295906651045,38.93008956791466,,0.8246016183853719,0.7270307021840949,,1811.0,1811.0
exp3_tensors,core_country_search,core_country_search,Core + Country + Search,GraphWaveNet,1.2049951899818185,1.3639865008392809,1.6208386722517172,0.7132357499234367,0.8214585501126616,1.0581913556736662,26.465064946337574,30.575620307059825,38.65299395531545,0.7151100099231154,0.7536176163427836,0.6997149165211813,1811.0,1811.0,1811.0
ablation_tensors,core_dom,core_dom,Core + Domain,AGCRN,1.2268085902417258,1.3797829213884132,1.608721425687636,0.7344229139602199,0.8601737702897013,1.0591921701622145,27.12535573513884,31.518353977861242,38.07063673012638,0.7273672066556369,0.7917333922681863,0.6906787746595543,1811.0,1811.0,1811.0
ablation_tensors,core_dom,core_dom,Core + Domain,DCRNN,1.193546559167984,1.3952243365023298,1.614298371269164,0.7187773729814044,0.832507121830708,1.0601740066282817,26.42522516326776,30.704724134647815,38.36513955585271,0.7194557155217396,0.7461553498619631,0.6873904519590575,1811.0,1811.0,1811.0
ablation_tensors,core_dom,core_dom,Core + Domain,GConvLSTM,1.2628373551289112,1.4687727144807694,1.695017676070878,0.7789093758294862,0.8765081415019083,1.1558188470601105,28.538715807614494,32.21965527312833,40.36087321948742,0.7759448779393037,0.7959199136720225,0.796950261960546,1811.0,1811.0,1811.0
ablation_tensors,core_dom,core_dom,Core + Domain,GraphWaveNet,1.2694509876149933,1.4115234103275773,1.6361907057458827,0.7888809992336114,0.8675800237018537,1.036721910805203,28.739984161194453,31.45966606227619,37.850692487447965,0.8088070061389635,0.8203701229264452,0.6357066595981191,1811.0,1811.0,1811.0
ablation_tensors,core_dtw,core_dtw,Core + DTW,AGCRN,1.2095214640303842,1.3521310012182912,1.6225320039977393,0.7324207278481059,0.8376434421310511,1.0893256882867126,27.32216505432002,31.345331435772366,39.5026909023564,0.7267683477855207,0.7644943830340276,0.7156075858599156,1811.0,1811.0,1811.0
