exp_group,experiment,model,horizon,seg_type,segment,RMSE,MAE,sMAPE,med_node_RMSE,n_keywords,feature_set,feature_set_label
ablation2_tensors,core_geo_search,GConvLSTM,12,tercile,High,2.098316211845003,1.3032942584892846,50.65110087372386,0.8004526607913072,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,12,quadrant,Low CPC / Low Vol,0.8245524416328318,0.5839603655191702,30.13314515187972,0.42612289338806253,401,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,12,quadrant,Low CPC / High Vol,1.1735640644833627,0.7962733563307786,46.22101201814711,0.5470578890195974,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,12,quadrant,High CPC / Low Vol,1.4494224987735573,1.09981960558073,29.709037722968045,0.8191692858199093,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,12,quadrant,High CPC / High Vol,2.7017429286190766,1.8818681620486215,49.22576811039765,1.456743263796124,402,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,1,overall,All,1.2131894386574613,0.7101580402686184,26.728996633631596,0.6892759416608233,1811,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,1,tercile,Low,0.7621101914260839,0.5199525380679719,18.322854981133577,0.5595868359313145,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,1,tercile,Medium,1.0694560947326934,0.6949646079927301,25.853976475418772,0.7271371615106024,603,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,1,tercile,High,1.6402421652432833,0.9155318200559548,36.00870973547122,0.8736642539931418,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,1,quadrant,Low CPC / Low Vol,0.5556267634477692,0.3747336365703508,21.168962929198788,0.38030747128285536,401,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,1,quadrant,Low CPC / High Vol,0.8384677612982756,0.5303232973509554,33.033621527309606,0.5653335582064238,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,1,quadrant,High CPC / Low Vol,1.0095668465439152,0.705154438538833,19.304191602264552,0.765249901882083,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,1,quadrant,High CPC / High Vol,2.0404301218775673,1.2764856810281198,33.679604357195835,1.3645546996858415,402,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,6,overall,All,1.408851623097385,0.8518406021001578,31.32711649178594,0.7732110844304037,1811,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,6,tercile,Low,0.89757255110041,0.6439095927751866,22.650270826728367,0.6694663165637728,604,core_geo_search,Core + Geo + Search
